date,team_a,team_b,score,sidefeature1,sidefeature2
2020-01-26,1610612740,1610612738,231.0,0.682,0.37
2020-01-26,1610612757,1610612754,268.0,0.652,0.413
2020-01-25,1610612762,1610612742,219.0,0.636,0.705
2020-01-25,1610612765,1610612751,232.0,0.419,0.37
2020-01-25,1610612739,1610612741,224.0,0.36200000000000004,0.267
2020-01-25,1610612750,1610612760,217.0,0.5870000000000001,0.33299999999999996
2020-01-25,1610612755,1610612747,199.0,0.8,0.63
2020-01-24,1610612766,1610612749,219.0,0.867,0.33299999999999996
2020-01-24,1610612765,1610612763,237.0,0.455,0.37799999999999995
2020-01-24,1610612753,1610612738,207.0,0.674,0.467
2020-01-24,1610612752,1610612761,230.0,0.682,0.267
2020-01-24,1610612748,1610612746,239.0,0.6890000000000001,0.705
2020-01-24,1610612741,1610612758,179.0,0.341,0.37
2020-01-24,1610612750,1610612745,255.0,0.628,0.341
2020-01-24,1610612740,1610612743,219.0,0.682,0.37799999999999995
2020-01-24,1610612760,1610612737,251.0,0.244,0.578
2020-01-24,1610612759,1610612756,202.0,0.409,0.465
2020-01-24,1610612744,1610612754,247.0,0.644,0.217
2020-01-23,1610612739,1610612764,236.0,0.326,0.273
2020-01-23,1610612751,1610612747,241.0,0.795,0.429
2020-01-23,1610612757,1610612742,258.0,0.628,0.42200000000000004
2020-01-22,1610612765,1610612758,233.0,0.349,0.364
2020-01-22,1610612753,1610612760,234.0,0.568,0.47700000000000004
2020-01-22,1610612761,1610612755,202.0,0.644,0.674
2020-01-22,1610612737,1610612746,197.0,0.705,0.22699999999999998
2020-01-22,1610612738,1610612763,214.0,0.465,0.667
2020-01-22,1610612748,1610612764,263.0,0.33299999999999996,0.698
2020-01-22,1610612752,1610612747,192.0,0.7909999999999999,0.273
2020-01-22,1610612741,1610612750,227.0,0.349,0.35600000000000004
2020-01-22,1610612745,1610612743,226.0,0.698,0.619
2020-01-22,1610612756,1610612754,199.0,0.636,0.419
2020-01-22,1610612740,1610612759,238.0,0.452,0.386
2020-01-22,1610612744,1610612762,225.0,0.698,0.222
2020-01-21,1610612742,1610612746,217.0,0.698,0.643
2020-01-20,1610612764,1610612765,206.0,0.3720000000000001,0.317
2020-01-20,1610612737,1610612761,239.0,0.667,0.233
2020-01-20,1610612751,1610612755,228.0,0.636,0.439
