date,team_a,team_b,score
2019-12-14,1610612742,1610612748,240
2019-12-14,1610612749,1610612739,233
2019-12-14,1610612745,1610612765,222
2019-12-14,1610612743,1610612760,212
2019-12-13,1610612753,1610612745,237
2019-12-13,1610612748,1610612747,223
2019-12-13,1610612763,1610612749,241
2019-12-13,1610612750,1610612746,241
2019-12-13,1610612758,1610612752,204
2019-12-12,1610612738,1610612755,224
2019-12-12,1610612759,1610612739,226
2019-12-12,1610612765,1610612742,233
2019-12-12,1610612743,1610612757,213
2019-12-11,1610612739,1610612745,226
2019-12-11,1610612754,1610612738,239
2019-12-11,1610612753,1610612747,183
2019-12-11,1610612761,1610612746,204
2019-12-11,1610612741,1610612737,238
2019-12-11,1610612750,1610612762,243
2019-12-11,1610612756,1610612763,223
2019-12-11,1610612749,1610612740,239
2019-12-11,1610612758,1610612760,187
2019-12-11,1610612744,1610612752,246
2019-12-10,1610612766,1610612764,221
2019-12-10,1610612755,1610612743,189
2019-12-10,1610612748,1610612737,256
2019-12-10,1610612757,1610612752,202
2019-12-09,1610612754,1610612746,209
2019-12-09,1610612738,1610612739,198
2019-12-09,1610612741,1610612761,185
2019-12-09,1610612745,1610612758,237
2019-12-09,1610612749,1610612753,211
2019-12-09,1610612756,1610612750,234
2019-12-09,1610612762,1610612760,194
2019-12-09,1610612744,1610612763,212
2019-12-08,1610612751,1610612743,207
2019-12-08,1610612766,1610612737,229
2019-12-08,1610612748,1610612741,215
2019-12-08,1610612755,1610612761,214
2019-12-08,1610612742,1610612758,216
2019-12-08,1610612757,1610612760,204
2019-12-08,1610612747,1610612750,267
2019-12-07,1610612742,1610612740,214
2019-12-07,1610612752,1610612754,207
2019-12-07,1610612755,1610612739,235
2019-12-07,1610612745,1610612756,224
2019-12-06,1610612766,1610612751,215
2019-12-06,1610612765,1610612754,209
2019-12-06,1610612738,1610612743,203
2019-12-06,1610612748,1610612764,215
2019-12-06,1610612760,1610612750,266
2019-12-06,1610612759,1610612758,209
2019-12-06,1610612757,1610612747,249
2019-12-05,1610612764,1610612755,232
2019-12-05,1610612752,1610612743,221
2019-12-05,1610612761,1610612745,228
2019-12-05,1610612740,1610612756,271
2019-12-04,1610612766,1610612744,197
2019-12-04,1610612753,1610612756,242
2019-12-04,1610612737,1610612751,248
2019-12-04,1610612738,1610612748,205
2019-12-04,1610612741,1610612763,205
2019-12-04,1610612760,1610612754,207
2019-12-04,1610612762,1610612747,217
2019-12-03,1610612739,1610612765,221
2019-12-03,1610612764,1610612753,247
2019-12-03,1610612761,1610612748,231
2019-12-03,1610612740,1610612742,215
2019-12-03,1610612759,1610612745,268
2019-12-03,1610612743,1610612747,201
2019-12-03,1610612746,1610612757,214
2014-06-15,1610612759,1610612748,191
2014-06-12,1610612748,1610612759,193
2014-06-10,1610612748,1610612759,203
2014-06-08,1610612759,1610612748,194
2014-06-05,1610612759,1610612748,205
2014-05-29,1610612759,1610612760,206
2014-05-27,1610612760,1610612759,197
2014-05-26,1610612748,1610612754,192
2014-05-25,1610612760,1610612759,203
2014-05-24,1610612748,1610612754,186
2014-05-21,1610612759,1610612760,189
2014-05-20,1610612754,1610612748,170
2014-05-19,1610612759,1610612760,227
2014-05-18,1610612754,1610612748,203
2014-05-15,1610612764,1610612754,173
2014-05-15,1610612746,1610612760,202
2014-05-14,1610612748,1610612751,190
2014-05-14,1610612759,1610612757,186
2014-05-12,1610612751,1610612748,198
2014-05-12,1610612757,1610612759,195
2014-05-11,1610612746,1610612760,200
2014-05-11,1610612764,1610612754,187
2014-05-10,1610612751,1610612748,194
2014-05-09,1610612764,1610612754,148
2014-05-09,1610612746,1610612760,230
2014-05-08,1610612759,1610612757,211
2014-05-07,1610612754,1610612764,168
2014-05-07,1610612760,1610612746,213
2014-05-06,1610612759,1610612757,208
2014-05-05,1610612760,1610612746,227
2014-05-04,1610612761,1610612751,207
2014-05-04,1610612759,1610612742,215
2014-05-03,1610612754,1610612737,172
2014-05-03,1610612760,1610612763,229
2014-05-03,1610612746,1610612744,247
2014-05-02,1610612742,1610612759,224
2014-05-02,1610612757,1610612745,197
2014-05-01,1610612763,1610612760,188
2014-05-01,1610612744,1610612746,199
2014-04-30,1610612759,1610612742,212
2014-04-30,1610612745,1610612757,206
2014-04-29,1610612760,1610612763,199
2014-04-29,1610612746,1610612744,216
2014-04-28,1610612766,1610612748,207
2014-04-28,1610612754,1610612737,204
2014-04-28,1610612742,1610612759,182
2014-04-27,1610612764,1610612741,187
2014-04-27,1610612751,1610612761,166
2014-04-27,1610612757,1610612745,243
2014-04-26,1610612742,1610612759,217
2014-04-26,1610612766,1610612748,183
2014-04-26,1610612763,1610612760,181
2014-04-25,1610612764,1610612741,197
2014-04-24,1610612737,1610612754,183
2014-04-24,1610612763,1610612760,193
2014-04-24,1610612744,1610612746,194
2014-04-23,1610612748,1610612766,198
2014-04-23,1610612759,1610612742,205
2014-04-23,1610612745,1610612757,217
2014-04-22,1610612754,1610612737,186
2014-04-22,1610612761,1610612751,195
2014-04-22,1610612741,1610612764,200
2014-04-21,1610612746,1610612744,236
2014-04-20,1610612759,1610612742,175
2014-04-20,1610612748,1610612766,187
2014-04-20,1610612741,1610612764,195
2014-04-20,1610612745,1610612757,242
2014-04-19,1610612761,1610612751,181
2014-04-19,1610612746,1610612744,214
2014-04-19,1610612754,1610612737,194
2014-04-19,1610612760,1610612763,186
2014-04-16,1610612766,1610612741,177
2014-04-16,1610612753,1610612754,187
2014-04-16,1610612763,1610612742,211
2014-04-16,1610612749,1610612737,214
2014-04-16,1610612750,1610612762,266
2014-04-16,1610612740,1610612745,205
2014-04-16,1610612759,1610612747,213
2014-04-16,1610612738,1610612764,220
2014-04-16,1610612739,1610612751,199
2014-04-16,1610612748,1610612755,187
2014-04-16,1610612752,1610612761,187
2014-04-16,1610612757,1610612746,214
2014-04-16,1610612758,1610612756,203
2014-04-16,1610612743,1610612744,228
2014-04-15,1610612751,1610612752,207
2014-04-15,1610612746,1610612743,222
2014-04-14,1610612755,1610612738,221
2014-04-14,1610612761,1610612749,210
2014-04-14,1610612764,1610612748,207
2014-04-14,1610612741,1610612753,203
2014-04-14,1610612745,1610612759,202
2014-04-14,1610612740,1610612760,190
2014-04-14,1610612762,1610612747,223
2014-04-14,1610612756,1610612763,188
2014-04-14,1610612744,1610612750,250
2014-04-13,1610612765,1610612761,223
2014-04-13,1610612752,1610612741,189
2014-04-13,1610612758,1610612750,209
2014-04-13,1610612747,1610612763,192
2014-04-12,1610612766,1610612755,216
2014-04-12,1610612764,1610612749,195
2014-04-12,1610612737,1610612748,183
2014-04-12,1610612739,1610612738,210
2014-04-12,1610612745,1610612740,215
2014-04-12,1610612742,1610612756,199
2014-04-11,1610612753,1610612764,182
2014-04-11,1610612738,1610612766,209
2014-04-11,1610612748,1610612754,184
2014-04-11,1610612741,1610612765,204
2014-04-11,1610612763,1610612755,212
2014-04-11,1610612750,1610612745,222
2014-04-11,1610612749,1610612739,235
2014-04-11,1610612759,1610612756,216
2014-04-11,1610612762,1610612757,210
2014-04-10,1610612742,1610612759,209
2014-04-10,1610612744,1610612743,199
2014-04-09,1610612753,1610612751,226
2014-04-09,1610612764,1610612766,182
2014-04-09,1610612763,1610612748,209
2014-04-09,1610612749,1610612754,206
2014-04-09,1610612750,1610612741,189
2014-04-09,1610612740,1610612756,182
2014-04-09,1610612757,1610612758,199
2014-04-09,1610612746,1610612760,208
2014-04-08,1610612737,1610612765,197
2014-04-08,1610612748,1610612751,175
2014-04-08,1610612762,1610612742,178
2014-04-08,1610612747,1610612745,275
2014-04-06,1610612746,1610612747,217
2014-04-06,1610612754,1610612737,195
2014-04-06,1610612745,1610612743,255
2014-04-06,1610612759,1610612763,204
2014-04-06,1610612744,1610612762,232
2014-04-06,1610612757,1610612740,194
2014-04-05,1610612753,1610612750,192
2014-04-05,1610612764,1610612741,174
2014-04-05,1610612739,1610612766,190
2014-04-05,1610612765,1610612738,226
2014-04-05,1610612755,1610612751,206
2014-04-04,1610612763,1610612743,192
2014-04-04,1610612761,1610612754,196
2014-04-04,1610612737,1610612739,215
2014-04-04,1610612738,1610612755,213
2014-04-04,1610612751,1610612765,220
2014-04-04,1610612748,1610612750,243
2014-04-04,1610612752,1610612764,179
2014-04-04,1610612741,1610612749,192
2014-04-04,1610612762,1610612740,196
2014-04-04,1610612745,1610612760,218
2014-04-04,1610612757,1610612756,202
2014-04-04,1610612744,1610612758,171
2014-04-04,1610612747,1610612742,202
2014-04-03,1610612760,1610612759,200
2014-04-02,1610612754,1610612765,195
2014-04-02,1610612752,1610612751,191
2014-04-02,1610612753,1610612739,217
2014-04-02,1610612755,1610612766,216
2014-04-02,1610612761,1610612745,210
2014-04-02,1610612764,1610612738,210
2014-04-02,1610612737,1610612741,197
2014-04-02,1610612750,1610612763,190
2014-04-02,1610612759,1610612744,201
2014-04-02,1610612743,1610612740,244
2014-04-02,1610612756,1610612746,220
2014-04-02,1610612758,1610612747,209
2014-04-01,1610612742,1610612744,242
2014-03-31,1610612766,1610612764,194
2014-03-31,1610612754,1610612759,180
2014-03-31,1610612765,1610612749,227
2014-03-31,1610612748,1610612761,176
2014-03-31,1610612741,1610612738,174
2014-03-31,1610612750,1610612746,218
2014-03-31,1610612743,1610612763,186
2014-03-31,1610612762,1610612752,175
2014-03-30,1610612760,1610612762,212
2014-03-30,1610612751,1610612750,213
2014-03-30,1610612738,1610612741,209
2014-03-30,1610612757,1610612763,203
2014-03-30,1610612747,1610612756,214
2014-03-29,1610612745,1610612746,225
2014-03-29,1610612764,1610612737,198
2014-03-29,1610612742,1610612758,203
2014-03-29,1610612749,1610612748,155
2014-03-29,1610612759,1610612740,176
2014-03-28,1610612753,1610612766,215
2014-03-28,1610612761,1610612738,208
2014-03-28,1610612764,1610612754,169
2014-03-28,1610612765,1610612748,188
2014-03-28,1610612750,1610612747,250
2014-03-28,1610612760,1610612758,175
2014-03-28,1610612743,1610612759,235
2014-03-28,1610612744,1610612763,193
2014-03-27,1610612737,1610612757,185
2014-03-27,1610612745,1610612755,218
2014-03-27,1610612749,1610612747,213
2014-03-27,1610612742,1610612746,212
2014-03-26,1610612766,1610612751,227
2014-03-26,1610612738,1610612761,189
2014-03-26,1610612750,1610612737,190
2014-03-26,1610612754,1610612748,167
2014-03-26,1610612758,1610612752,206
2014-03-26,1610612762,1610612763,178
2014-03-25,1610612739,1610612761,202
2014-03-25,1610612753,1610612757,180
2014-03-25,1610612742,1610612760,247
2014-03-25,1610612747,1610612752,223
2014-03-24,1610612737,1610612756,197
2014-03-24,1610612763,1610612750,201
2014-03-24,1610612760,1610612743,213
2014-03-24,1610612759,1610612755,204
2014-03-24,1610612762,1610612765,208
2014-03-24,1610612746,1610612749,204
2014-03-23,1610612761,1610612737,182
2014-03-23,1610612750,1610612756,247
2014-03-23,1610612743,1610612764,207
2014-03-23,1610612758,1610612749,231
2014-03-23,1610612742,1610612751,211
2014-03-23,1610612752,1610612739,206
2014-03-22,1610612766,1610612757,218
2014-03-22,1610612739,1610612745,229
2014-03-22,1610612741,1610612755,172
2014-03-22,1610612763,1610612754,153
2014-03-22,1610612740,1610612748,200
2014-03-22,1610612762,1610612753,177
2014-03-22,1610612744,1610612759,189
2014-03-22,1610612746,1610612765,215
2014-03-21,1610612754,1610612741,170
2014-03-21,1610612755,1610612752,185
2014-03-21,1610612761,1610612760,237
2014-03-21,1610612737,1610612740,216
2014-03-21,1610612751,1610612738,212
2014-03-21,1610612748,1610612763,177
2014-03-21,1610612742,1610612743,228
2014-03-21,1610612758,1610612759,178
2014-03-21,1610612747,1610612764,224
2014-03-20,1610612739,1610612760,197
2014-03-20,1610612745,1610612750,235
2014-03-20,1610612757,1610612764,219
2014-03-20,1610612744,1610612749,225
2014-03-19,1610612755,1610612741,196
2014-03-19,1610612751,1610612766,203
2014-03-19,1610612763,1610612762,182
2014-03-19,1610612740,1610612761,207
2014-03-19,1610612752,1610612754,178
2014-03-19,1610612742,1610612750,245
2014-03-19,1610612743,1610612765,227
2014-03-19,1610612756,1610612753,202
2014-03-18,1610612739,1610612748,196
2014-03-18,1610612757,1610612749,235
2014-03-18,1610612758,1610612764,228
2014-03-18,1610612744,1610612753,192
2014-03-17,1610612754,1610612755,189
2014-03-17,1610612741,1610612760,182
2014-03-17,1610612745,1610612762,210
2014-03-17,1610612742,1610612738,183
