date,team_a,team_b,score
2020-01-15,1610612747,1610612753,237.0
2020-01-14,1610612737,1610612756,233.0
2020-01-14,1610612751,1610612762,225.0
2020-01-14,1610612763,1610612745,231.0
2020-01-14,1610612749,1610612752,230.0
2020-01-14,1610612744,1610612742,221.0
2020-01-14,1610612746,1610612739,231.0
2020-01-13,1610612765,1610612740,227.0
2020-01-13,1610612754,1610612755,196.0
2020-01-13,1610612738,1610612741,214.0
2020-01-13,1610612750,1610612760,221.0
2020-01-13,1610612757,1610612766,227.0
2020-01-13,1610612758,1610612753,226.0
2020-01-13,1610612747,1610612739,227.0
2020-01-12,1610612752,1610612748,245.0
2020-01-12,1610612764,1610612762,243.0
2020-01-12,1610612751,1610612737,194.0
2020-01-12,1610612761,1610612759,209.0
2020-01-12,1610612763,1610612744,224.0
2020-01-12,1610612743,1610612746,218.0
2020-01-12,1610612756,1610612766,192.0
2020-01-11,1610612745,1610612750,248.0
2020-01-11,1610612738,1610612740,245.0
2020-01-11,1610612765,1610612741,207.0
2020-01-11,1610612760,1610612747,235.0
2020-01-11,1610612742,1610612755,200.0
2020-01-11,1610612743,1610612739,214.0
2020-01-11,1610612757,1610612749,223.0
2020-01-10,1610612764,1610612737,212.0
2020-01-10,1610612752,1610612740,234.0
2020-01-10,1610612751,1610612748,230.0
2020-01-10,1610612741,1610612754,221.0
2020-01-10,1610612763,1610612759,255.0
2020-01-10,1610612756,1610612753,192.0
2020-01-10,1610612762,1610612766,201.0
2020-01-10,1610612742,1610612747,243.0
2020-01-10,1610612758,1610612749,233.0
2020-01-10,1610612746,1610612744,209.0
2020-01-09,1610612765,1610612739,227.0
2020-01-09,1610612755,1610612738,207.0
2020-01-09,1610612750,1610612757,218.0
2020-01-09,1610612760,1610612745,205.0
2020-01-08,1610612738,1610612759,243.0
2020-01-08,1610612766,1610612761,222.0
2020-01-08,1610612754,1610612748,230.0
2020-01-08,1610612753,1610612764,212.0
2020-01-08,1610612737,1610612745,237.0
2020-01-08,1610612742,1610612743,213.0
2020-01-08,1610612740,1610612741,231.0
2020-01-08,1610612762,1610612752,232.0
2020-01-08,1610612744,1610612749,205.0
2020-01-07,1610612739,1610612765,228.0
2020-01-07,1610612761,1610612757,200.0
2020-01-07,1610612751,1610612760,214.0
2020-01-07,1610612763,1610612750,231.0
2020-01-07,1610612756,1610612758,217.0
2020-01-07,1610612747,1610612752,204.0
2020-01-06,1610612766,1610612754,219.0
2020-01-06,1610612753,1610612751,190.0
2020-01-06,1610612755,1610612760,233.0
2020-01-06,1610612764,1610612738,193.0
2020-01-06,1610612737,1610612743,238.0
2020-01-06,1610612740,1610612762,254.0
2020-01-06,1610612742,1610612741,228.0
2020-01-06,1610612759,1610612749,230.0
2020-01-06,1610612758,1610612744,209.0
2020-01-05,1610612746,1610612752,267.0
2020-01-05,1610612748,1610612757,233.0
2020-01-05,1610612739,1610612750,221.0
2020-01-05,1610612756,1610612763,235.0
2020-01-05,1610612747,1610612765,205.0
2020-01-04,1610612746,1610612763,254.0
2020-01-04,1610612751,1610612761,223.0
2020-01-04,1610612753,1610612762,205.0
2020-01-04,1610612737,1610612754,227.0
2020-01-04,1610612739,1610612760,227.0
2020-01-04,1610612764,1610612743,242.0
2020-01-04,1610612741,1610612738,215.0
2020-01-04,1610612742,1610612766,243.0
2020-01-04,1610612749,1610612759,245.0
2020-01-04,1610612744,1610612765,215.0
2020-01-04,1610612758,1610612740,232.0
2020-01-03,1610612738,1610612737,215.0
2020-01-03,1610612753,1610612748,190.0
2020-01-03,1610612764,1610612757,225.0
2020-01-03,1610612745,1610612755,226.0
2020-01-03,1610612756,1610612752,232.0
2020-01-03,1610612747,1610612740,236.0
2020-01-02,1610612739,1610612766,215.0
2020-01-02,1610612754,1610612743,240.0
2020-01-02,1610612748,1610612761,160.0
2020-01-02,1610612741,1610612762,200.0
2020-01-02,1610612750,1610612744,183.0
2020-01-02,1610612742,1610612751,234.0
2020-01-02,1610612759,1610612760,212.0
2020-01-02,1610612758,1610612763,251.0
2020-01-02,1610612746,1610612765,238.0
2020-01-01,1610612764,1610612753,223.0
2020-01-01,1610612752,1610612757,210.0
2020-01-01,1610612749,1610612750,210.0
2020-01-01,1610612747,1610612756,224.0
2019-12-31,1610612766,1610612738,201.0
2019-12-31,1610612754,1610612755,212.0
2019-12-31,1610612758,1610612746,192.0
2019-12-31,1610612761,1610612739,214.0
2019-12-31,1610612745,1610612743,234.0
2019-12-31,1610612759,1610612744,230.0
2019-12-31,1610612760,1610612742,207.0
2019-12-30,1610612753,1610612737,194.0
2019-12-30,1610612764,1610612748,228.0
2019-12-30,1610612741,1610612749,225.0
2019-12-30,1610612750,1610612751,237.0
2019-12-30,1610612762,1610612765,185.0
2019-12-30,1610612757,1610612756,238.0
2019-12-29,1610612761,1610612760,195.0
2019-12-29,1610612763,1610612766,221.0
2019-12-29,1610612740,1610612745,239.0
2019-12-29,1610612743,1610612758,235.0
2019-12-29,1610612747,1610612742,203.0
2019-12-28,1610612743,1610612763,229.0
2019-12-28,1610612738,1610612761,210.0
2019-12-28,1610612740,1610612754,218.0
2019-12-28,1610612748,1610612755,233.0
2019-12-28,1610612764,1610612752,207.0
2019-12-28,1610612741,1610612737,197.0
2019-12-28,1610612745,1610612751,206.0
2019-12-28,1610612750,1610612739,182.0
2019-12-28,1610612749,1610612753,211.0
2019-12-28,1610612759,1610612765,245.0
2019-12-28,1610612744,1610612742,262.0
2019-12-28,1610612758,1610612756,222.0
2019-12-28,1610612757,1610612747,248.0
2019-12-28,1610612746,1610612762,227.0
2019-12-27,1610612738,1610612739,246.0
2019-12-27,1610612766,1610612760,206.0
2019-12-27,1610612753,1610612755,195.0
2019-12-27,1610612737,1610612749,198.0
2019-12-27,1610612748,1610612754,225.0
2019-12-27,1610612744,1610612756,201.0
2019-12-26,1610612765,1610612764,234.0
2019-12-26,1610612751,1610612752,176.0
2019-12-26,1610612760,1610612763,207.0
2019-12-26,1610612742,1610612759,200.0
2019-12-26,1610612758,1610612750,209.0
2019-12-26,1610612762,1610612757,236.0
2019-12-25,1610612761,1610612738,220.0
2019-12-25,1610612755,1610612749,230.0
2019-12-25,1610612744,1610612745,220.0
2019-12-25,1610612747,1610612746,217.0
2019-12-25,1610612743,1610612740,212.0
2019-12-23,1610612739,1610612737,239.0
2019-12-23,1610612765,1610612755,234.0
2019-12-23,1610612754,1610612761,235.0
2019-12-23,1610612752,1610612764,236.0
2019-12-23,1610612753,1610612741,198.0
2019-12-23,1610612748,1610612762,211.0
2019-12-23,1610612763,1610612759,260.0
2019-12-23,1610612756,1610612743,224.0
2019-12-23,1610612757,1610612740,196.0
2019-12-23,1610612758,1610612745,217.0
2019-12-23,1610612744,1610612750,217.0
2019-12-22,1610612761,1610612742,217.0
2019-12-22,1610612738,1610612766,212.0
2019-12-22,1610612749,1610612754,206.0
2019-12-22,1610612760,1610612746,230.0
2019-12-22,1610612747,1610612743,232.0
