,date,team_a,team_b,score
404,2019-12-30,1610612753,1610612737,194.0
405,2019-12-30,1610612764,1610612748,228.0
406,2019-12-30,1610612741,1610612749,225.0
407,2019-12-30,1610612750,1610612751,237.0
408,2019-12-30,1610612762,1610612765,185.0
409,2019-12-30,1610612757,1610612756,238.0
410,2019-12-29,1610612761,1610612760,195.0
411,2019-12-29,1610612763,1610612766,221.0
412,2019-12-29,1610612740,1610612745,239.0
413,2019-12-29,1610612743,1610612758,235.0
414,2019-12-29,1610612747,1610612742,203.0
415,2019-12-28,1610612743,1610612763,229.0
416,2019-12-28,1610612738,1610612761,210.0
417,2019-12-28,1610612740,1610612754,218.0
418,2019-12-28,1610612748,1610612755,233.0
419,2019-12-28,1610612764,1610612752,207.0
420,2019-12-28,1610612741,1610612737,197.0
421,2019-12-28,1610612745,1610612751,206.0
422,2019-12-28,1610612750,1610612739,182.0
423,2019-12-28,1610612749,1610612753,211.0
424,2019-12-28,1610612759,1610612765,245.0
425,2019-12-28,1610612744,1610612742,262.0
426,2019-12-28,1610612758,1610612756,222.0
427,2019-12-28,1610612757,1610612747,248.0
428,2019-12-28,1610612746,1610612762,227.0
429,2019-12-27,1610612738,1610612739,246.0
430,2019-12-27,1610612766,1610612760,206.0
431,2019-12-27,1610612753,1610612755,195.0
432,2019-12-27,1610612737,1610612749,198.0
433,2019-12-27,1610612748,1610612754,225.0
434,2019-12-27,1610612744,1610612756,201.0
435,2019-12-26,1610612765,1610612764,234.0
436,2019-12-26,1610612751,1610612752,176.0
437,2019-12-26,1610612760,1610612763,207.0
438,2019-12-26,1610612742,1610612759,200.0
439,2019-12-26,1610612758,1610612750,209.0
440,2019-12-26,1610612762,1610612757,236.0
441,2019-12-25,1610612761,1610612738,220.0
442,2019-12-25,1610612755,1610612749,230.0
443,2019-12-25,1610612744,1610612745,220.0
444,2019-12-25,1610612747,1610612746,217.0
445,2019-12-25,1610612743,1610612740,212.0
446,2019-12-23,1610612739,1610612737,239.0
447,2019-12-23,1610612765,1610612755,234.0
448,2019-12-23,1610612754,1610612761,235.0
449,2019-12-23,1610612752,1610612764,236.0
450,2019-12-23,1610612753,1610612741,198.0
451,2019-12-23,1610612748,1610612762,211.0
452,2019-12-23,1610612763,1610612759,260.0
453,2019-12-23,1610612756,1610612743,224.0
454,2019-12-23,1610612757,1610612740,196.0
455,2019-12-23,1610612758,1610612745,217.0
456,2019-12-23,1610612744,1610612750,217.0
457,2019-12-22,1610612761,1610612742,217.0
458,2019-12-22,1610612738,1610612766,212.0
459,2019-12-22,1610612749,1610612754,206.0
460,2019-12-22,1610612760,1610612746,230.0
461,2019-12-22,1610612747,1610612743,232.0
462,2019-12-21,1610612766,1610612762,221.0
463,2019-12-21,1610612751,1610612737,234.0
464,2019-12-21,1610612765,1610612741,226.0
465,2019-12-21,1610612755,1610612764,233.0
