date,team_a,team_b,score,sidefeature
2020-01-17,1610612755,1610612741,189.0,203.78
2020-01-17,1610612761,1610612764,251.0,209.9
2020-01-17,1610612763,1610612739,222.0,209.34
2020-01-17,1610612760,1610612748,223.0,210.68
2020-01-17,1610612759,1610612737,241.0,209.8
2020-01-17,1610612742,1610612757,232.0,219.58
2020-01-16,1610612752,1610612756,219.0,214.38
2020-01-16,1610612749,1610612738,251.0,211.28
2020-01-16,1610612740,1610612762,270.0,210.0
2020-01-16,1610612744,1610612743,265.0,213.74
2020-01-16,1610612746,1610612753,217.0,211.54
2020-01-15,1610612738,1610612765,219.0,212.12
2020-01-15,1610612755,1610612751,223.0,208.06
2020-01-15,1610612748,1610612759,206.0,209.32
2020-01-15,1610612741,1610612764,221.0,199.5
2020-01-15,1610612750,1610612754,203.0,207.08
2020-01-15,1610612760,1610612761,251.0,214.46
2020-01-15,1610612743,1610612766,186.0,211.28
2020-01-15,1610612745,1610612757,224.0,221.52
2020-01-15,1610612758,1610612742,250.0,214.54
2020-01-15,1610612747,1610612753,237.0,212.52
2020-01-14,1610612737,1610612756,233.0,211.88
2020-01-14,1610612751,1610612762,225.0,203.86
2020-01-14,1610612763,1610612745,231.0,216.94
2020-01-14,1610612749,1610612752,230.0,210.7
2020-01-14,1610612744,1610612742,221.0,213.74
2020-01-14,1610612746,1610612739,231.0,213.62
2020-01-13,1610612765,1610612740,227.0,214.12
2020-01-13,1610612754,1610612755,196.0,205.32
2020-01-13,1610612738,1610612741,214.0,201.3
2020-01-13,1610612750,1610612760,221.0,215.06
2020-01-13,1610612757,1610612766,227.0,211.46
2020-01-13,1610612758,1610612753,226.0,205.4
2020-01-13,1610612747,1610612739,227.0,215.18
2020-01-12,1610612752,1610612748,245.0,206.8
2020-01-12,1610612764,1610612762,243.0,204.52
2020-01-12,1610612751,1610612737,194.0,203.72
2020-01-12,1610612761,1610612759,209.0,213.4
2020-01-12,1610612763,1610612744,224.0,208.68
2020-01-12,1610612743,1610612746,218.0,219.96
2020-01-12,1610612756,1610612766,192.0,210.96
2020-01-11,1610612745,1610612750,248.0,218.16000000000003
2020-01-11,1610612738,1610612740,245.0,211.04
2020-01-11,1610612765,1610612741,207.0,203.9
2020-01-11,1610612760,1610612747,235.0,219.04
2020-01-11,1610612742,1610612755,200.0,215.84
2020-01-11,1610612743,1610612739,214.0,212.72
2020-01-11,1610612757,1610612749,223.0,214.8
2020-01-10,1610612764,1610612737,212.0,203.82
2020-01-10,1610612752,1610612740,234.0,211.48
2020-01-10,1610612751,1610612748,230.0,203.04
2020-01-10,1610612741,1610612754,221.0,194.92
2020-01-10,1610612763,1610612759,255.0,210.42
2020-01-10,1610612756,1610612753,192.0,210.38
2020-01-10,1610612762,1610612766,201.0,203.76
2020-01-10,1610612742,1610612747,243.0,220.78
2020-01-10,1610612758,1610612749,233.0,209.06
2020-01-10,1610612746,1610612744,209.0,214.78
2020-01-09,1610612765,1610612739,227.0,210.0
2020-01-09,1610612755,1610612738,207.0,209.96
2020-01-09,1610612750,1610612757,218.0,216.5
2020-01-09,1610612760,1610612745,205.0,217.34
2020-01-08,1610612738,1610612759,243.0,209.4
2020-01-08,1610612766,1610612761,222.0,207.16000000000003
2020-01-08,1610612754,1610612748,230.0,200.7
2020-01-08,1610612753,1610612764,212.0,201.98
2020-01-08,1610612737,1610612745,237.0,212.38
2020-01-08,1610612742,1610612743,213.0,217.88
2020-01-08,1610612740,1610612741,231.0,202.42
2020-01-08,1610612762,1610612752,232.0,205.14
2020-01-08,1610612744,1610612749,205.0,209.92
2020-01-07,1610612739,1610612765,228.0,209.6
2020-01-07,1610612761,1610612757,200.0,215.38
2020-01-07,1610612751,1610612760,214.0,206.62
2020-01-07,1610612763,1610612750,231.0,210.14
2020-01-07,1610612756,1610612758,217.0,213.22
2020-01-07,1610612747,1610612752,204.0,216.24
2020-01-06,1610612766,1610612754,219.0,198.76
2020-01-06,1610612753,1610612751,190.0,200.86
2020-01-06,1610612755,1610612760,233.0,212.9
2020-01-06,1610612764,1610612738,193.0,203.92
2020-01-06,1610612737,1610612743,238.0,210.88
2020-01-06,1610612740,1610612762,254.0,206.64
2020-01-06,1610612742,1610612741,228.0,203.54
2020-01-06,1610612759,1610612749,230.0,212.0
2020-01-06,1610612758,1610612744,209.0,207.12
2020-01-05,1610612746,1610612752,267.0,213.06
2020-01-05,1610612748,1610612757,233.0,210.34
2020-01-05,1610612739,1610612750,221.0,209.22
2020-01-05,1610612756,1610612763,235.0,211.76
2020-01-05,1610612747,1610612765,205.0,218.42
2020-01-04,1610612746,1610612763,254.0,210.5
2020-01-04,1610612751,1610612761,223.0,205.54
2020-01-04,1610612753,1610612762,205.0,202.3
2020-01-04,1610612737,1610612754,227.0,198.1
2020-01-04,1610612739,1610612760,227.0,208.6
2020-01-04,1610612764,1610612743,242.0,210.4
2020-01-04,1610612741,1610612738,215.0,197.34
2020-01-04,1610612742,1610612766,243.0,207.8
2020-01-04,1610612749,1610612759,245.0,211.1
2020-01-04,1610612744,1610612765,215.0,210.34
2020-01-04,1610612758,1610612740,232.0,208.7
2020-01-03,1610612738,1610612737,215.0,201.8
2020-01-03,1610612753,1610612748,190.0,203.08
2020-01-03,1610612764,1610612757,225.0,209.82
2020-01-03,1610612745,1610612755,226.0,215.86
2020-01-03,1610612756,1610612752,232.0,212.48
2020-01-03,1610612747,1610612740,236.0,215.98
2020-01-02,1610612739,1610612766,215.0,201.8
2020-01-02,1610612754,1610612743,240.0,206.56
2020-01-02,1610612748,1610612761,160.0,207.88
2020-01-02,1610612741,1610612762,200.0,195.84
2020-01-02,1610612750,1610612744,183.0,210.92
2020-01-02,1610612742,1610612751,234.0,205.52
2020-01-02,1610612759,1610612760,212.0,212.36
2020-01-02,1610612758,1610612763,251.0,205.36
2020-01-02,1610612746,1610612765,238.0,214.2
2020-01-01,1610612764,1610612753,223.0,201.84
2020-01-01,1610612752,1610612757,210.0,213.28
2020-01-01,1610612749,1610612750,210.0,211.82
2020-01-01,1610612747,1610612756,224.0,218.52
2019-12-31,1610612766,1610612738,201.0,202.5
2019-12-31,1610612754,1610612755,212.0,202.72
2019-12-31,1610612758,1610612746,192.0,210.22
2019-12-31,1610612761,1610612739,214.0,207.02
2019-12-31,1610612745,1610612743,234.0,218.16
2019-12-31,1610612759,1610612744,230.0,208.66000000000003
2019-12-31,1610612760,1610612742,207.0,213.6
2019-12-30,1610612753,1610612737,194.0,202.22
2019-12-30,1610612764,1610612748,228.0,200.96
2019-12-30,1610612741,1610612749,225.0,198.38
2019-12-30,1610612750,1610612751,237.0,205.24
2019-12-30,1610612762,1610612765,185.0,207.92
2019-12-30,1610612757,1610612756,238.0,216.98
2019-12-29,1610612761,1610612760,195.0,213.2
2019-12-29,1610612763,1610612766,221.0,202.46
2019-12-29,1610612740,1610612745,239.0,213.32
2019-12-29,1610612743,1610612758,235.0,211.96
2019-12-29,1610612747,1610612742,203.0,216.26
2019-12-28,1610612743,1610612763,229.0,211.02
2019-12-28,1610612738,1610612761,210.0,207.4
2019-12-28,1610612740,1610612754,218.0,200.34
2019-12-28,1610612748,1610612755,233.0,206.7
2019-12-28,1610612764,1610612752,207.0,202.98
2019-12-28,1610612741,1610612737,197.0,194.04
2019-12-28,1610612745,1610612751,206.0,208.04
2019-12-28,1610612750,1610612739,182.0,207.04
2019-12-28,1610612749,1610612753,211.0,206.44
2019-12-28,1610612759,1610612765,245.0,211.22
2019-12-28,1610612744,1610612742,262.0,208.54
2019-12-28,1610612758,1610612756,222.0,210.56
2019-12-28,1610612757,1610612747,248.0,217.56
2019-12-28,1610612746,1610612762,227.0,208.64
2019-12-27,1610612738,1610612739,246.0,201.16
2019-12-27,1610612766,1610612760,206.0,207.84
2019-12-27,1610612753,1610612755,195.0,208.24
2019-12-27,1610612737,1610612749,198.0,203.46
2019-12-27,1610612748,1610612754,225.0,196.26
2019-12-27,1610612744,1610612756,201.0,211.06
2019-12-26,1610612765,1610612764,234.0,205.14
2019-12-26,1610612751,1610612752,176.0,203.4
2019-12-26,1610612760,1610612763,207.0,209.16000000000003
2019-12-26,1610612742,1610612759,200.0,211.26
2019-12-26,1610612758,1610612750,209.0,208.58
2019-12-26,1610612762,1610612757,236.0,208.02
2019-12-25,1610612761,1610612738,220.0,206.62
2019-12-25,1610612755,1610612749,230.0,210.06
2019-12-25,1610612744,1610612745,220.0,211.12
2019-12-25,1610612747,1610612746,217.0,217.98
2019-12-25,1610612743,1610612740,212.0,212.4
2019-12-23,1610612739,1610612737,239.0,199.66
2019-12-23,1610612765,1610612755,234.0,211.46
2019-12-23,1610612754,1610612761,235.0,202.36
2019-12-23,1610612752,1610612764,236.0,201.92
2019-12-23,1610612753,1610612741,198.0,196.6
2019-12-23,1610612748,1610612762,211.0,200.2
2019-12-23,1610612763,1610612759,260.0,204.8
2019-12-23,1610612756,1610612743,224.0,216.52
2019-12-23,1610612757,1610612740,196.0,211.46
2019-12-23,1610612758,1610612745,217.0,211.6
2019-12-23,1610612744,1610612750,217.0,207.52
2019-12-22,1610612761,1610612742,217.0,213.2
2019-12-22,1610612738,1610612766,212.0,199.84
2019-12-22,1610612749,1610612754,206.0,199.56
2019-12-22,1610612760,1610612746,230.0,214.58
2019-12-22,1610612747,1610612743,232.0,219.48
2019-12-21,1610612766,1610612762,221.0,200.06
2019-12-21,1610612751,1610612737,234.0,197.74
2019-12-21,1610612765,1610612741,226.0,199.22000000000003
2019-12-21,1610612755,1610612764,233.0,204.84
2019-12-21,1610612752,1610612749,225.0,206.66
2019-12-21,1610612763,1610612758,234.0,202.18
2019-12-21,1610612759,1610612746,243.0,211.6
2019-12-21,1610612756,1610612745,264.0,215.84
2019-12-21,1610612757,1610612750,219.0,213.22
2019-12-20,1610612739,1610612763,221.0,198.66
2019-12-20,1610612754,1610612758,224.0,197.88
2019-12-20,1610612738,1610612765,207.0,204.44
2019-12-20,1610612761,1610612764,240.0,204.06
2019-12-20,1610612748,1610612752,243.0,201.98
2019-12-20,1610612755,1610612742,215.0,212.54
2019-12-20,1610612760,1610612756,234.0,213.66000000000003
2019-12-20,1610612743,1610612750,209.0,214.24
2019-12-20,1610612757,1610612753,221.0,209.38
2019-12-20,1610612744,1610612740,208.0,204.64
2019-12-19,1610612737,1610612762,217.0,200.14
2019-12-19,1610612749,1610612747,215.0,215.3
2019-12-19,1610612759,1610612751,223.0,202.0
2019-12-19,1610612746,1610612745,239.0,215.62
2019-12-18,1610612739,1610612766,198.0,198.64
2019-12-18,1610612765,1610612761,211.0,210.4
2019-12-18,1610612764,1610612741,219.0,193.14
2019-12-18,1610612755,1610612748,212.0,204.64
2019-12-18,1610612750,1610612740,206.0,209.74
2019-12-18,1610612760,1610612763,248.0,205.44
2019-12-18,1610612743,1610612753,217.0,210.66
2019-12-18,1610612742,1610612738,212.0,206.26
2019-12-18,1610612757,1610612744,234.0,207.6
2019-12-17,1610612766,1610612758,212.0,201.9
2019-12-17,1610612754,1610612747,207.0,206.06
2019-12-17,1610612752,1610612737,263.0,201.04
2019-12-17,1610612740,1610612751,209.0,201.74
2019-12-17,1610612762,1610612753,211.0,202.74
2019-12-17,1610612746,1610612756,219.0,213.94
2019-12-16,1610612765,1610612764,252.0,203.02
2019-12-16,1610612761,1610612739,246.0,203.1
2019-12-16,1610612745,1610612759,216.0,212.9
2019-12-16,1610612763,1610612748,229.0,197.6
2019-12-16,1610612749,1610612742,236.0,210.64
2019-12-16,1610612760,1610612741,215.0,200.3
2019-12-16,1610612756,1610612757,221.0,213.7
2019-12-15,1610612740,1610612753,249.0,205.04
2019-12-15,1610612754,1610612766,192.0,194.64
2019-12-15,1610612737,1610612747,197.0,210.24
2019-12-15,1610612751,1610612755,198.0,203.98
2019-12-15,1610612743,1610612752,216.0,209.78
2019-12-15,1610612744,1610612758,179.0,204.2
2019-12-14,1610612756,1610612759,240.0,210.2
2019-12-14,1610612761,1610612751,212.0,202.18
2019-12-14,1610612741,1610612746,215.0,200.14
2019-12-14,1610612763,1610612764,239.0,196.7
2019-12-14,1610612742,1610612748,240.0,205.96
2019-12-14,1610612749,1610612739,233.0,202.12
2019-12-14,1610612745,1610612765,222.0,213.24
2019-12-14,1610612743,1610612760,212.0,214.6
2019-12-13,1610612753,1610612745,237.0,211.92
2019-12-13,1610612755,1610612740,225.0,207.24
2019-12-13,1610612748,1610612747,223.0,209.42
2019-12-13,1610612737,1610612754,210.0,195.48
2019-12-13,1610612741,1610612766,156.0,192.92
2019-12-13,1610612763,1610612749,241.0,200.08
2019-12-13,1610612762,1610612744,220.0,201.5
2019-12-13,1610612750,1610612746,241.0,212.32
2019-12-13,1610612758,1610612752,204.0,204.4
2019-12-12,1610612738,1610612755,224.0,202.96
2019-12-12,1610612759,1610612739,226.0,202.0
2019-12-12,1610612765,1610612742,233.0,210.46
2019-12-12,1610612743,1610612757,213.0,214.68
2019-12-11,1610612739,1610612745,226.0,207.66000000000003
2019-12-11,1610612754,1610612738,239.0,192.18
2019-12-11,1610612753,1610612747,183.0,213.96
2019-12-11,1610612761,1610612746,204.0,210.58
2019-12-11,1610612751,1610612766,221.0,197.58
2019-12-11,1610612741,1610612737,238.0,192.62
2019-12-11,1610612750,1610612762,243.0,204.8
2019-12-11,1610612756,1610612763,223.0,203.78
2019-12-11,1610612749,1610612740,239.0,205.04
2019-12-11,1610612758,1610612760,187.0,209.66000000000003
2019-12-11,1610612744,1610612752,246.0,201.28
2019-12-10,1610612766,1610612764,221.0,197.54
